"Domain","CustomerId","Action","Cancelled","Failed","AzureSkipped","Details"
"otuwacne104095.onmicrosoft.com","1d13c70e-5030-49dc-b89c-4d6c2d17ea82","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104094.onmicrosoft.com","e7007ca9-c6c8-42f7-afcb-741d10b928a8","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104093.onmicrosoft.com","614d81ce-ff26-41b6-9cbf-be7175ea33a1","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104092.onmicrosoft.com","12a022b4-b43f-489b-a469-80b71b114a0a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104091.onmicrosoft.com","0fbb23d4-9235-4591-9781-ec45aeb4f751","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104090.onmicrosoft.com","3fb216ef-d15e-4bc1-b4e4-ff7df340a3c6","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104089.onmicrosoft.com","38b4320e-2914-4d39-a1b0-f84d5cd00b4c","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104088.onmicrosoft.com","13d54f97-dbc2-4bdc-8e63-73570156e316","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104087.onmicrosoft.com","41ebf7d4-d43f-4002-bf3c-a3e0a95602a9","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104086.onmicrosoft.com","f0d3645a-9cca-4708-8384-30e72a9ef7cb","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104085.onmicrosoft.com","b30055c9-27ae-4ede-ae7a-515d82f6e7d3","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104084.onmicrosoft.com","79c7b966-de31-442d-bf0b-3d88382e79e8","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104083.onmicrosoft.com","99e0ff93-035f-419c-ad2c-52c76c2771d0","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104082.onmicrosoft.com","5a54a022-ffd8-4b15-a641-cac2ba978e2f","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104081.onmicrosoft.com","88b000cc-65b0-45f9-a3d1-35d6fb306199","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104080.onmicrosoft.com","7fd4cc0d-5d0e-4e1a-8011-81369b1e6ab5","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104079.onmicrosoft.com","4c6c118e-ce79-4ac5-a042-b280b35a2701","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104078.onmicrosoft.com","9fe88f78-24f5-4678-8e17-9617d6a4e5e4","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104077.onmicrosoft.com","fffffc5f-ed67-423c-8df1-2731e736fdef","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104076.onmicrosoft.com","039b067a-d159-46ae-9491-a878b09a1854","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104075.onmicrosoft.com","59aec059-467b-4420-85f8-63a5999e240f","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104074.onmicrosoft.com","c34e3c3c-cdea-4df4-a9b2-a8f075d51414","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104073.onmicrosoft.com","eabd3472-cea8-44cc-bd41-11ce48ea1e28","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104072.onmicrosoft.com","8277c11b-f94a-4827-802e-f04c56130f91","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104071.onmicrosoft.com","0cc0aa9c-7cd6-491d-b049-cb2747f476e6","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104070.onmicrosoft.com","c5cd50e2-be0c-4bc9-807c-a3953ead2da4","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104069.onmicrosoft.com","4744ded2-5d95-4b46-8f14-0a84c08f71f5","CANCELLED","1","0","1","Targets=1; AzureSkipped=1"
"otuwacne104068.onmicrosoft.com","c7bdbea2-b9fb-4510-96b1-3ffa23d764bb","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104067.onmicrosoft.com","e4b42f53-aa42-47fb-b6c4-2094797b71e1","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104066.onmicrosoft.com","7be8c231-7762-4d04-9675-df54c78f4fd4","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104065.onmicrosoft.com","a8b6ff49-e6cc-4ef1-8fda-115562db64c2","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104064.onmicrosoft.com","3c536b65-eb06-4ed7-8faf-1c605ab94428","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104063.onmicrosoft.com","88f61366-25a3-4be2-8bc3-587b96d8155a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104062.onmicrosoft.com","3c4ae842-3499-4b7a-8b1b-aa96a9247b84","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104061.onmicrosoft.com","381c927d-1cc2-4121-9356-a8353138f1fe","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104060.onmicrosoft.com","71264e9d-8293-4fd8-b009-bb3b3af5bc37","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104059.onmicrosoft.com","1b2c7d15-bec3-4910-a516-14ed6bf1c66a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104058.onmicrosoft.com","13abbd0e-d7f3-46b2-8914-d99c3e4f0cff","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104057.onmicrosoft.com","291cd7a8-1ce2-416e-805c-737118443110","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104056.onmicrosoft.com","8ac6dc4a-d3d5-4056-a4a5-0a34ca2a815f","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104055.onmicrosoft.com","b71f388f-ad82-4a51-8320-9c46b50b3e0a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104054.onmicrosoft.com","a985cbb7-88f9-4098-817b-17a0801f2665","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104053.onmicrosoft.com","98f9d77d-1215-4b90-9bbe-d392c883319e","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104052.onmicrosoft.com","0cce66b2-b2ae-44eb-95ad-f4f880d9c94a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104051.onmicrosoft.com","bd1d8d04-fd95-4557-9f08-b06407244d6b","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104050.onmicrosoft.com","fa81e0b3-2438-4b7f-a25f-f5e9493c57a8","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104049.onmicrosoft.com","216fec35-ebc6-473a-aed4-bdf4c31facbf","CANCELLED","1","0","1","Targets=1; AzureSkipped=1"
"otuwacne104048.onmicrosoft.com","b2e3fd79-e86e-4740-b21f-cb615998630f","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104047.onmicrosoft.com","77734408-ac11-4178-b5ec-73630f2227b4","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104046.onmicrosoft.com","902bb837-e7fc-4a20-91f9-0081760ee9dd","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104045.onmicrosoft.com","19b58800-fcad-477c-9237-99743458566a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104044.onmicrosoft.com","6c0a9d46-6173-4874-8714-50a1e1b94bf9","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104043.onmicrosoft.com","63dac623-08bb-451c-a622-347b19fa3253","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104042.onmicrosoft.com","d540b97b-ec12-4f42-bef5-79470a319815","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104041.onmicrosoft.com","79d1038c-f27a-4d93-bf0e-ee4d2fdae62b","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104040.onmicrosoft.com","ec241690-4987-4d99-85c3-5d250077e78b","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104039.onmicrosoft.com","cb986d18-9943-4824-831d-d38ee2ef2d3d","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104038.onmicrosoft.com","6b2cb526-38f0-4e01-89d7-02a077e7b346","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104037.onmicrosoft.com","54445e7b-b406-45a1-bc8b-7e18795721d2","CANCELLED","1","0","1","Targets=1; AzureSkipped=1"
"otuwacne104036.onmicrosoft.com","aea992f4-7e48-4c8d-90e6-164046a30ec4","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104035.onmicrosoft.com","a1f09864-e1dc-44a9-9378-80bcc319f819","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104034.onmicrosoft.com","eb81c46e-9dd7-4f98-923d-cde68124d5e3","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104033.onmicrosoft.com","f7d431d4-3384-4a3d-89b2-0e928854f53a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104032.onmicrosoft.com","ffe9ac1a-80aa-4f11-a802-eddfd7e4dc4e","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104031.onmicrosoft.com","8f8ee0d0-6f48-4589-a959-830afad64bf9","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104030.onmicrosoft.com","e8658aab-b40a-4952-b974-a2c0d40e0008","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104029.onmicrosoft.com","6a2fa177-8ffa-47c2-8bba-93d3ad37643c","CANCELLED","1","0","1","Targets=1; AzureSkipped=1"
"otuwacne104028.onmicrosoft.com","ff4db708-d638-4bd7-92b0-6b2bc373d948","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104027.onmicrosoft.com","892cd6f7-5fd3-41d8-99e4-1eda6256d0b8","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104026.onmicrosoft.com","01f99e49-0638-4333-b5a3-1560757babaf","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104025.onmicrosoft.com","f3f22920-8bb0-40c6-bfbd-c42c4c4823ae","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104024.onmicrosoft.com","8137ac79-ecd3-44f2-902a-3d7047648cb8","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104023.onmicrosoft.com","e190d087-5aa7-49d3-aa85-7f5f3a557fad","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104022.onmicrosoft.com","2705ac40-4350-4221-bf79-cd4c2c0a410f","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104021.onmicrosoft.com","8826e5b0-5745-44da-b46e-7868826bbd9a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104020.onmicrosoft.com","9c332479-62c7-4218-a9fd-1f8c771625ed","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104019.onmicrosoft.com","b27ea40b-42cb-4915-bc1c-998f0168e19e","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104018.onmicrosoft.com","0a090846-6267-45b6-bdfc-9f8482da1694","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104017.onmicrosoft.com","d5ee1bad-a8a6-4bf3-b56e-f06bbef38d6c","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104016.onmicrosoft.com","239b18f0-9f00-413c-9f28-7a4c89f9e489","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104015.onmicrosoft.com","c068eea7-73b6-4be9-b265-9289be35cd81","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104014.onmicrosoft.com","0a0495e4-e3f3-40ec-b90f-181fcaeeace2","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104013.onmicrosoft.com","740edb9c-e174-4938-a673-07f42776ef2a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104012.onmicrosoft.com","06f6bca4-7cc0-4899-bd08-0c976894d165","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104011.onmicrosoft.com","715f4527-5dcc-462e-a7b9-dfbbb6be43e3","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104010.onmicrosoft.com","a38be04e-2bd5-4bad-b4fc-6ae2d4c429ef","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104009.onmicrosoft.com","dc7323a9-b2c3-4dbf-9d7e-59bc1832837d","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104008.onmicrosoft.com","20417043-3ea5-43ea-85b1-606301f03632","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104007.onmicrosoft.com","7feeb899-6bdc-4376-a909-452aba019ddd","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104006.onmicrosoft.com","c8361611-e905-4af9-b27b-4a0c19c7ab9d","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104005.onmicrosoft.com","77060ab6-f578-4346-ae1e-1b5e216db2ed","SKIP","0","0","1","Only Azure subscriptions"
